X1,X2,Y
12,12,0
58,86,1
10,90,0
25,94,0
4,6,0
95,3,1
61,73,1
45,69,0
36,35,0
28,40,0
2,56,0
33,40,0
50,87,0
55,9,1
41,64,0
45,15,0
24,6,0
50,69,0
57,40,1
84,1,1
43,57,0
7,3,0
40,45,0
54,91,1
95,48,1
2,9,0
33,34,0
89,63,1
63,64,1
86,62,1
49,5,0
29,15,0
6,48,0
57,85,1
48,20,0
68,61,1
70,37,1
71,48,1
4,77,0
58,1,1
98,68,1
15,44,0
67,8,1
20,46,0
98,86,1
92,58,1
10,100,0
22,67,0
39,89,0
10,57,0
42,13,0
9,93,0
18,66,0
70,77,1
50,29,0
59,87,1
98,83,1
17,85,0
78,34,1
49,39,0
53,44,1
69,97,1
92,29,1
70,44,1
53,41,1
13,12,0
7,60,0
43,92,0
91,100,1
83,77,1
8,75,0
37,56,0
28,38,0
54,15,1
35,39,0
39,20,0
14,60,0
68,56,1
81,60,1
68,32,1
17,48,0
55,68,1
73,19,1
74,47,1
5,75,0
60,91,1
8,56,0
77,45,1
61,3,1
83,89,1
76,58,1
3,15,0
63,30,1
64,12,1
38,28,0
55,61,1
89,59,1
86,70,1
70,55,1
80,32,1
